Scientific Name,Common Name,Family,Taxonomic Group
Megalaima lineata,Lineated Barbet,Ramphastidae,Birds
Plegadis falcinellus,Glossy Ibis,Threskiornithidae,Birds
Centropus sinensis,Common Coucal,Cuculidae,Birds
Glaucidium cuculoides,Cuckoo Owlet,Strigidae,Birds
Pyrrhula erythrocephala,Red-Headed Bullfinch,Fringillidae,Birds
Megalaima asiatica,Blue-Throated Barbet,Ramphastidae,Birds
Dicaeum agile,Thick-Billed Flowerpecker,Dicaeidae,Birds
Prinia sylvatica,Jungle Prinia,Cisticolidae,Birds
Spelaeornis caudatus,Rufous-Throated Wren-Babbler,Timaliidae,Birds
Melophus lathami,Crested Bunting,Emberizidae,Birds
Rostratula benghalensis,Painted-Snipe,Rostratulidae,Birds
Mulleripicus pulverulentus,Great Slaty Woodpecker,Picidae,Birds
Garrulax monileger,Leser Necklaced Laughingthrush,Timaliidae,Birds
Cettia pallidipes,Pale-Footed Bush-Warbler,Sylviidae,Birds
Ploceus philippinus,Baya Weaver,Ploceidae,Birds
Phoenicurus ochruros,Black Redstart,Muscicapidae,Birds
Alcippe castaneceps,Chestnut-Headed Fulvetta,Timaliidae,Birds
Athene brama,Spotted Owlet,Strigidae,Birds
Cisticola juncidis,Zitting Cisticola,Cisticolidae,Birds
Muscicapella hodgsoni,Pygmy Blue-Flycatcher,Muscicapidae,Birds
Rhipidura albicollis,White-Throated Fantail,Rhipiduridae,Birds
Aquila rapax,Tawny Eagle,Accipitridae,Birds
Tachybaptus ruficollis,Little Grebe,Podicipedidae,Birds
Serinus pusillus,Red-Fronted Serin,Fringillidae,Birds
Anser anser,Greylag Goose,Anatidae,Birds
Pinicola subhimachala,Crimson-Browed Finch,Fringillidae,Birds
Amaurornis akool,Brown Crake,Rallidae,Birds
Megalaima haemacephala,Coppersmith Barbet,Ramphastidae,Birds
Gallinago stenura,Pintail Snipe,Scolopacidae,Birds
Vanellus cinereus,Grey-Headed Lapwing,Charadriidae,Birds
Tadorna ferruginea,Ruddy Shelduck,Anatidae,Birds
Phoenicurus frontalis,Blue-Fronted Redstart,Muscicapidae,Birds
Pelecanus philippensis,Grey Pelican,Pelecanidae,Birds
Yuhina flavicollis,Burmese Yuhina,Timaliidae,Birds
Charadrius alexandrinus,Kentish Plover,Charadriidae,Birds
Monticola cinclorhynchus,Blue-Capped Rock-Thrush,Muscicapidae,Birds
Alauda gulgula,Oriental Skylark,Alaudidae,Birds
Xiphirhynchus superciliaris,Slender-Billed Scimitar-Babbler,Timaliidae,Birds
Prinia cinereocapilla,Hodgson's Long-Tailed Warbler,Cisticolidae,Birds
Podiceps nigricollis,Black-Necked Grebe,Podicipedidae,Birds
Motacilla alba,White Wagtail,Motacillidae,Birds
Hieraaetus pennatus,Booted Eagle,Accipitridae,Birds
Abroscopus albogularis,Rufous-Faced Warbler,Sylviidae,Birds
Aegithina tiphia,Common Iora,Aegithinidae,Birds
Cettia flavolivacea,Aberrant Bush-Warbler,Sylviidae,Birds
Treron apicauda,Pin-Tailed Pigeon,Columbidae,Birds
Dicrurus caerulescens,White-Bellied Drongo,Dicruridae,Birds
Mycerobas affinis,Allied Grosbeak,Fringillidae,Birds
Phoenicurus erythronotus,Eversmann's Redstart,Muscicapidae,Birds
Surniculus lugubris,Drongo Cuckoo,Cuculidae,Birds
Bradypterus thoracicus,Spotted Bush-Warbler,Sylviidae,Birds
Anthus sylvanus,Upland Pipit,Motacillidae,Birds
Hemixos flavala,Ashy Bulbul,Pycnonotidae,Birds
Sitta cashmirensis,Kashmir Nuthatch,Sittidae,Birds
Pitta brachyura,Indian Pitta,Pittidae,Birds
Aythya nyroca,Ferruginous Pochard,Anatidae,Birds
Coturnix japonica,Japanese Quail,Phasianidae,Birds
Leptoptilos javanicus,Lesser Adjutant,Ciconiidae,Birds
Hemipus picatus,Bar-Winged Flycatcher-Shrike,Campephagidae,Birds
Carpodacus nipalensis,Dark-Breasted Rosefinch,Fringillidae,Birds
Phylloscopus trochiloides,Greenish Warbler,Sylviidae,Birds
Phylloscopus subviridis,Brooks' Leaf-Warbler,Sylviidae,Birds
Butorides striata,Green-Backed Heron,Ardeidae,Birds
Chaimarrornis leucocephalus,River Chat,Muscicapidae,Birds
Bubo bubo,Eurasian Eagle Owl,Strigidae,Birds
Cacomantis passerinus,Grey Bellied Cuckoo,Cuculidae,Birds
Seicercus burkii,Yellow-Eyed Flycatcher-Warbler,Sylviidae,Birds
Asio otus,Long-Eared Owl,Strigidae,Birds
Montifringilla blanfordi,Blanford's Snowfinch,Passeridae,Birds
Cettia fortipes,Brownish-Flanked Bush-Warbler,Sylviidae,Birds
Ardea purpurea,Purple Heron,Ardeidae,Birds
Leucosticte nemoricola,Plain Mountain-Finch,Fringillidae,Birds
Lanius excubitor,Great Grey Shrike,Laniidae,Birds
Dicaeum chrysorrheum,Yellow-Vented Flowerpecker,Dicaeidae,Birds
Nisaetus nipalensis,Mountain Hawk Eagle,Accipitridae,Birds
Tringa nebularia,Greenshank,Scolopacidae,Birds
Hirundo rustica,Barn Swallow,Hirundinidae,Birds
Picus xanthopygaeus,Little Scaly-Bellied Woodpecker,Picidae,Birds
Carduelis spinoides,Yellow-Breasted Greenfinch,Fringillidae,Birds
Haematospiza sipahi,Scarlet Finch,Fringillidae,Birds
Emberiza spodocephala,Black-Faced Bunting,Emberizidae,Birds
Acrocephalus concinens,Blunt-Winged Warbler,Sylviidae,Birds
Syrrhaptes tibetanus,Tibetan Sandgrouse,Pteroclididae,Birds
Phoenicurus caeruleocephala,Blue Capped Redstart,Muscicapidae,Birds
Pitta nipalensis,Blue-Naped Pitta,Pittidae,Birds
Falco cherrug,Saker Falcon,Falconidae,Birds
Mycerobas icterioides,Black-And-Yellow Grosbeak,Fringillidae,Birds
Malacocincla abbotti,Abbott's Babbler,Timaliidae,Birds
Hemiprocne coronata,Crested Treeswift,Hemiprocnidae,Birds
Phylloscopus griseolus,Sulphur-Bellied Warbler,Sylviidae,Birds
Hodgsonius phaenicuroides,White-Bellied Redstart,Muscicapidae,Birds
Columba pulchricollis,Ashy Wood-Pigeon,Columbidae,Birds
Parus rubidiventris,Rufous-Vented Tit,Paridae,Birds
Tarsiger cyanurus,Red-Flanked Bluetail,Muscicapidae,Birds
Turdoides earlei,Striated Babbler,Timaliidae,Birds
Megalurus palustris,Striated Grassbird,Sylviidae,Birds
Pnoepyga immaculata,Nepal Wren-Babbler,Timaliidae,Birds
Pericrocotus ethologus,Long-Tailed Minivet,Campephagidae,Birds
Columba palumbus,Woodpigeon,Columbidae,Birds
Carpodacus rodochroa,Pink-Browed Rosefinch,Fringillidae,Birds
Perdicula asiatica,Jungle Bush-Quail,Phasianidae,Birds
Passer domesticus,House Sparrow,Passeridae,Birds
Carpodacus puniceus,Rose-Breasted Rosefinch,Fringillidae,Birds
Sarcogyps calvus,Indian Black Vulture,Accipitridae,Birds
Pterocles indicus,Painted Sandgrouse,Pteroclididae,Birds
Aquila hastata,Indian Spotted Eagle,Accipitridae,Birds
Tephrodornis pondicerianus,Common Woodshrike,Campephagidae,Birds
Calandrella raytal,Sand Lark,Alaudidae,Birds
Macropygia unchall,Bar-Tailed Cuckoo-Dove,Columbidae,Birds
Chlidonias hybrida,Whiskered Tern,Laridae,Birds
Certhia discolor,Brown-Throated Treecreeper,Certhiidae,Birds
Pomatorhinus ruficollis,Streak-Breasted Scimitar-Babbler,Timaliidae,Birds
Copsychus malabaricus,White-Rumped Shama,Muscicapidae,Birds
Aquila heliaca,Imperial Eagle,Accipitridae,Birds
Calidris alpina,Dunlin,Scolopacidae,Birds
Ixobrychus flavicollis,Black Bittern,Ardeidae,Birds
Cacomantis sonneratii,Banded Bay Cuckoo,Cuculidae,Birds
Phoenicurus hodgsoni,Hodgson's Redstart,Muscicapidae,Birds
Grus nigricollis,Black-Necked Crane,Gruidae,Birds
Phylloscopus humei,Hume's Leaf Warbler,Sylviidae,Birds
Melanochlora sultanea,Sultan Tit,Paridae,Birds
Dicaeum ignipectus,Green-Backed Flowerpecker,Dicaeidae,Birds
Garrulax variegatus,Variegated Laughingthrush,Timaliidae,Birds
Bubo bengalensis,Rock Eagle-Owl,Strigidae,Birds
Tachymarptis melba,Alpine Swift,Apodidae,Birds
Marmaronetta angustirostris,Marbled Duck,Anatidae,Birds
Saroglossa spiloptera,Spot-Winged Starling,Sturnidae,Birds
Fringilla montifringilla,Brambling,Fringillidae,Birds
Mergus merganser,Goosander,Anatidae,Birds
Sturnus contra,Asian Pied Starling,Sturnidae,Birds
Saxicola ferreus,Grey Bushchat,Muscicapidae,Birds
Aegithalos niveogularis,White-Throated Tit,Aegithalidae,Birds
Neophron percnopterus,Egyptian Vulture,Accipitridae,Birds
Garrulax striatus,Striated Laughingthrush,Timaliidae,Birds
Erpornis zantholeuca,White Bellied Yuhina,Timaliidae,Birds
Stachyris nigriceps,Grey-Throated Babbler,Timaliidae,Birds
Luscinia svecica,Bluethroat,Muscicapidae,Birds
Tetraogallus himalayensis,Himalayan Snowcock,Phasianidae,Birds
Carpodacus erythrinus,Common Rosefinch,Fringillidae,Birds
Culicicapa ceylonensis,Grey-Headed Canary-Flycatcher,Muscicapidae,Birds
Hirundo fluvicola,Indian Cliff Swallow,Hirundinidae,Birds
Cacomantis merulinus,Grey-Bellied Cuckoo,Cuculidae,Birds
Clamator coromandus,Chestnut-Winged Cuckoo,Cuculidae,Birds
Seicercus castaniceps,Chestnut-Crowned Warbler,Sylviidae,Birds
Phylloscopus magnirostris,Large-Billed Leaf-Warbler,Sylviidae,Birds
Calandrella acutirostris,Hume's Lark,Alaudidae,Birds
Lanius tephronotus,Grey-Backed Shrike,Laniidae,Birds
Ficedula tricolor,Slaty-Blue Flycatcher,Muscicapidae,Birds
Columba punicea,Pale-Capped Pigeon,Columbidae,Birds
Pseudibis papillosa,Red-Naped Ibis,Threskiornithidae,Birds
Strix aluco,Tawny Owl,Strigidae,Birds
Haliaeetus albicilla,White-Tailed Eagle,Accipitridae,Birds
Carpodacus rubicilloides,Eastern Great Rosefinch,Fringillidae,Birds
Anas falcata,Falcated Duck,Anatidae,Birds
Dicaeum erythrorhynchos,Pale-Billed Flowerpecker,Dicaeidae,Birds
Pericrocotus flammeus,Scarlet Minivet,Campephagidae,Birds
Milvus migrans,Black Kite,Accipitridae,Birds
Aquila nipalensis,Steppe Eagle,Accipitridae,Birds
Galerida cristata,Crested Lark,Alaudidae,Birds
Chrysocolaptes festivus,Black-Rumped Woodpecker,Picidae,Birds
Prinia gracilis,Graceful Prinia,Cisticolidae,Birds
Sturnus malabaricus,Ashy-Headed Starling,Sturnidae,Birds
Cuculus saturatus,Oriental Cuckoo,Cuculidae,Birds
Passer rutilans,Cinnamon Sparrow,Passeridae,Birds
Ardea cinerea,Grey Heron,Ardeidae,Birds
Niltava vivida,Vivid Niltava,Muscicapidae,Birds
Saxicola macrorhynchus,Stoliczka's Bushchat,Muscicapidae,Birds
Garrulax lineatus,Streaked Laughingthrush,Timaliidae,Birds
Spelaeornis formosus,Spotted Wren-Babbler,Timaliidae,Birds
Buceros bicornis,Great Hornbill,Bucerotidae,Birds
Vanellus gregarius,Sociable Lapwing,Charadriidae,Birds
Ichthyophaga humilis,Lesser Fish-Eagle,Accipitridae,Birds
Francolinus pondicerianus,Grey Francolin,Phasianidae,Birds
Dicrurus leucophaeus,Ashy Drongo,Dicruridae,Birds
Sterna acuticauda,Black-Bellied Tern,Laridae,Birds
Sylvia althaea,Hume's Whitethroat,Sylviidae,Birds
Cypsiurus balasiensis,Asian Palm Swift,Apodidae,Birds
Gyps fulvus,European Griffon Vulture,Accipitridae,Birds
Locustella lanceolata,Lanceolated Warbler,Sylviidae,Birds
Strix leptogrammica,Brown Wood-Owl,Strigidae,Birds
Carduelis carduelis,European Goldfinch,Fringillidae,Birds
Psittacula himalayana,Grey-Headed Parakeet,Psittacidae,Birds
Prunella immaculata,Maroon-Backed Accentor,Prunellidae,Birds
Grandala coelicolor,Grandala,Muscicapidae,Birds
Alectoris chukar,Chukar,Phasianidae,Birds
Anas crecca,Common Teal,Anatidae,Birds
Carpodacus vinaceus,Vinaceous Rosefinch,Fringillidae,Birds
Ocyceros birostris,Indian Grey Hornbill,Bucerotidae,Birds
Dicrurus annectans,Crow-Billed Drongo,Dicruridae,Birds
Luscinia brunnea,Indian Blue Robin,Muscicapidae,Birds
Orthotomus sutorius,Common Tailorbird,Sylviidae,Birds
Threskiornis melanocephalus,Oriental Ibis,Threskiornithidae,Birds
Leptopoecile sophiae,Severtzov's Tit-Warbler,Aegithalidae,Birds
Eudynamys scolopaceus,Asian Koel,Cuculidae,Birds
Alcedo hercules,Blyth's Kingfisher,Alcedinidae,Birds
Arachnothera magna,Streaked Spiderhunter,Nectariniidae,Birds
Garrulax affinis,White-Whiskered Laughingthrush,Timaliidae,Birds
Porzana porzana,Spotted Crake,Rallidae,Birds
Saxicola insignis,White-Throated Bushchat,Muscicapidae,Birds
Coturnix chinensis,Blue Quail,Phasianidae,Birds
Calidris temminckii,Temminck's Stint,Scolopacidae,Birds
Stachyris pyrrhops,Red-Billed Tree Babbler,Timaliidae,Birds
Ardeola grayii,Indian Pond-Heron,Ardeidae,Birds
Chelidorhynx hypoxantha,Yellow-Bellied Fantail,Rhipiduridae,Birds
Megalaima zeylanica,Brown-Headed Barbet,Ramphastidae,Birds
Phylloscopus collybita,Chiffchaff,Sylviidae,Birds
Dumetia hyperythra,Tawny-Bellied Babbler,Timaliidae,Birds
Myzornis pyrrhoura,Fire-Tailed Myzornis,Timaliidae,Birds
Megalaima franklinii,Golden-Throated Barbet,Ramphastidae,Birds
Pycnonotus jocosus,Red-Whiskered Bulbul,Pycnonotidae,Birds
Ichthyophaga ichthyaetus,Grey-Headed Fish-Eagle,Accipitridae,Birds
Coracina melanoptera,Black-Headed Cuckoo-Shrike,Campephagidae,Birds
Emberiza striolata,House Bunting,Emberizidae,Birds
Seicercus affinis,Allied Flycatcher-Warbler,Sylviidae,Birds
Gallinago nemoricola,Wood Snipe,Scolopacidae,Birds
Ficedula sapphira,Sapphire-Headed Flycatcher,Muscicapidae,Birds
Merops orientalis,Little Green Bee-Eater,Meropidae,Birds
Carpodacus edwardsii,Dark-Rumped Rosefinch,Fringillidae,Birds
Gypaetus barbatus,Lammergeier,Accipitridae,Birds
Mycerobas melanozanthos,Spot-Winged Grosbeak,Fringillidae,Birds
Babax waddelli,Giant Babax,Timaliidae,Birds
Pnoepyga pusilla,Pygmy Wren-Babbler,Timaliidae,Birds
Circus melanoleucos,Pied Harrier,Accipitridae,Birds
Picus squamatus,Scaly-Bellied Woodpecker,Picidae,Birds
Delichon nipalense,Nepal House Martin,Hirundinidae,Birds
Alcippe nipalensis,Nepal Fulvetta,Timaliidae,Birds
Zoothera monticola,Long-Billed Thrush,Turdidae,Birds
Riparia paludicola,Plain Martin,Hirundinidae,Birds
Hippolais caligata,Booted Warbler,Sylviidae,Birds
Ficedula parva,Red-Breasted Flycatcher,Muscicapidae,Birds
Anas platyrhynchos,Mallard,Anatidae,Birds
Dendrocopos himalayensis,Himalayan Woodpecker,Picidae,Birds
Aegithalos concinnus,Black-Throated Tit,Aegithalidae,Birds
Fringilla coelebs,Chaffinch,Fringillidae,Birds
Rallina eurizonoides,Slaty-Legged Crake,Rallidae,Birds
Cinclidium leucurum,White-Tailed Robin,Muscicapidae,Birds
Cisticola exilis,Gold-Capped Cisticola,Cisticolidae,Birds
Stigmatopelia senegalensis,Laughing Dove,Columbidae,Birds
Callacanthis burtoni,Red-Browed Rosefinch,Fringillidae,Birds
Anthus similis,Long-Billed Pipit,Motacillidae,Birds
Pernis ptilorhyncus,Oriental Honey-Buzzard,Accipitridae,Birds
Prinia crinigera,Striated Prinia,Cisticolidae,Birds
Heterophasia capistrata,Black-Capped Sibia,Timaliidae,Birds
Halcyon pileata,Black-Capped Kingfisher,Alcedinidae,Birds
Pterocles exustus,Chestnut-Bellied Sandgrouse,Pteroclididae,Birds
Montifringilla ruficollis,Rufous-Necked Snowfinch,Passeridae,Birds
Emberiza leucocephalos,Pine Bunting,Emberizidae,Birds
Eremophila alpestris,Horned Lark,Alaudidae,Birds
Garrulax rufogularis,Rufous-Chinned Laughingthrush,Timaliidae,Birds
Prinia flaviventris,Yellow-Bellied Prinia,Cisticolidae,Birds
Psittacula roseata,Blossom-Headed Parakeet,Psittacidae,Birds
Garrulax erythrocephalus,Red-Headed Laughingthrush,Timaliidae,Birds
Pteruthius melanotis,Black-Eared Shrike-Babbler,Timaliidae,Birds
Circus macrourus,Pallid Harrier,Accipitridae,Birds
Aethopyga siparaja,Crimson Sunbird,Nectariniidae,Birds
Catreus wallichi,Cheer Pheasant,Phasianidae,Birds
Heterophasia annectens,Chestnut-Backed Minla,Timaliidae,Birds
Gallinula chloropus,Common Moorhen,Rallidae,Birds
Turdoides longirostris,Slender-Billed Babbler,Timaliidae,Birds
Dinopium benghalense,Black-Rumped Flameback,Picidae,Birds
Hirundo concolor,Dusky Crag Martin,Hirundinidae,Birds
Tadorna tadorna,Common Shelduck,Anatidae,Birds
Circus aeruginosus,Eurasian Marsh Harrier,Accipitridae,Birds
Galloperdix spadicea,Red Spurfowl,Phasianidae,Birds
Ithaginis cruentus,Blood Pheasant,Phasianidae,Birds
Merops philippinus,Blue-Tailed Bee-Eater,Meropidae,Birds
Gallinago gallinago,Common Snipe,Scolopacidae,Birds
Garrulax henrici,Prince Henry's Laughingthrush,Timaliidae,Birds
Upupa epops,Hoopoe,Upupidae,Birds
Lymnocryptes minimus,Jack Snipe,Scolopacidae,Birds
Aythya baeri,Baer's Pochard,Anatidae,Birds
Merops leschenaulti,Chestnut-Headed Bee-Eater,Meropidae,Birds
Aegithalos iouschistos,Black-Browed Tit,Aegithalidae,Birds
Nectarinia asiatica,Purple Sunbird,Nectariniidae,Birds
Pelecanus onocrotalus,Great White Pelican,Pelecanidae,Birds
Tarsiger indicus,White-Browed Bush-Robin,Muscicapidae,Birds
Pyrrhula aurantiaca,Orange Bullfinch,Fringillidae,Birds
Carpodacus rubescens,Blanford's Rosefinch,Fringillidae,Birds
Garrulus glandarius,Eurasian Jay,Corvidae,Birds
Artamus fuscus,Ashy Woodswallow,Artamidae,Birds
Pteruthius flaviscapis,White-Browed Shrike-Babbler,Timaliidae,Birds
Emberiza cia,Rock Bunting,Emberizidae,Birds
Prunella fulvescens,Brown Accentor,Prunellidae,Birds
Carduelis flavirostris,Twite,Fringillidae,Birds
Bubo coromandus,Dusky Eagle-Owl,Strigidae,Birds
Pandion haliaetus,Osprey,Accipitridae,Birds
Chrysocolaptes lucidus,Greater Flameback,Picidae,Birds
Falco columbarius,Merlin,Falconidae,Birds
Picus flavinucha,Greater Yellow-Naped Woodpecker,Picidae,Birds
Mycteria leucocephala,Painted Stork,Ciconiidae,Birds
Aythya ferina,Common Pochard,Anatidae,Birds
Charadrius mongolus,Mongolian Plover,Charadriidae,Birds
Porzana pusilla,Baillon's Crake,Rallidae,Birds
Falco severus,Oriental Hobby,Falconidae,Birds
Acridotheres fuscus,Jungle Myna,Sturnidae,Birds
Aythya fuligula,Tufted Duck,Anatidae,Birds
Cettia major,Large Bush-Warbler,Sylviidae,Birds
Otus sunia,Oriental Scops Owl,Strigidae,Birds
Larus ichthyaetus,Pallas's Gull,Laridae,Birds
Bradypterus mandelli,Russet Bush Warbler,Sylviidae,Birds
Lonchura atricapilla,Chestnut Munia,Estrildidae,Birds
Acridotheres tristis,Common Myna,Sturnidae,Birds
Haliastur indus,Brahminy Kite,Accipitridae,Birds
Ixobrychus sinensis,Yellow Bittern,Ardeidae,Birds
Ciconia episcopus,Woolly-Necked Stork,Ciconiidae,Birds
Buteo rufinus,Long-Legged Buzzard,Accipitridae,Birds
Perdix hodgsoniae,Tibetan Partridge,Phasianidae,Birds
Saxicola jerdoni,Jerdon's Bushchat,Muscicapidae,Birds
Falco naumanni,Lesser Kestrel,Falconidae,Birds
Niltava macgrigoriae,Small Niltava,Muscicapidae,Birds
Circus cyaneus,Hen Harrier,Accipitridae,Birds
Zoothera wardii,Pied Thrush,Turdidae,Birds
Loriculus vernalis,Vernal Hanging-Parrot,Psittacidae,Birds
Dendrocopos hyperythrus,Rufous-Bellied Woodpecker,Picidae,Birds
Cyornis magnirostris,Large Blue Flycatcher,Muscicapidae,Birds
Mirafra erythroptera,Indian Red-Winged Lark,Alaudidae,Birds
Minla ignotincta,Red-Tailed Minla,Timaliidae,Birds
Megalaima virens,Great Barbet,Ramphastidae,Birds
Treron bicinctus,Orange Breasted Green Pigeon,Columbidae,Birds
Streptopelia decaocto,Collared Dove,Columbidae,Birds
Anthus richardi,Richard's Pipit,Motacillidae,Birds
Parus spilonotus,Chinese Yellow Tit,Paridae,Birds
Anthus trivialis,Tree Pipit,Motacillidae,Birds
Phylloscopus xanthoschistos,Grey-Hooded Warbler,Sylviidae,Birds
Accipiter virgatus,Besra,Accipitridae,Birds
Motacilla madaraspatensis,White Browed Wagtail,Motacillidae,Birds
Paradoxornis nipalensis,Black-Throated Parrotbill,Timaliidae,Birds
Loxia curvirostra,Red Crossbill,Fringillidae,Birds
Ceryle rudis,Pied Kingfisher,Alcedinidae,Birds
Oriolus chinensis,Black-Naped Oriole,Oriolidae,Birds
Leptoptilos dubius,Greater Adjutant,Ciconiidae,Birds
Garrulax pectoralis,Greater Necklaced Laughingthrush,Timaliidae,Birds
Turdoides striata,Jungle Babbler,Timaliidae,Birds
Elanus caeruleus,Black-Winged Kite,Accipitridae,Birds
Heterophasia picaoides,Long-Tailed Sibia,Timaliidae,Birds
Prinia hodgsonii,Franklin's Prinia,Cisticolidae,Birds
Copsychus saularis,Oriental Magpie-Robin,Muscicapidae,Birds
Ixobrychus minutus,Little Bittern,Ardeidae,Birds
Cinclus cinclus,Dipper,Cinclidae,Birds
Motacilla citreola,Citrine Wagtail,Motacillidae,Birds
Abroscopus superciliaris,Yellow-Bellied Flycatcher-Warbler,Sylviidae,Birds
Corvus levaillantii,Jungle Crow,Corvidae,Birds
Oriolus traillii,Maroon Oriole,Oriolidae,Birds
Leptopoecile elegans,Crested Tit-Warbler,Aegithalidae,Birds
Prunella atrogularis,Black-Throated Accentor,Prunellidae,Birds
Acrocephalus agricola,Paddyfield Warbler,Sylviidae,Birds
Phylloscopus fuligiventer,Smoky Warbler,Sylviidae,Birds
Emberiza godlewskii,Godlewski's Bunting,Emberizidae,Birds
Ninox scutulata,Brown Hawk-Owl,Strigidae,Birds
Phylloscopus fuscatus,Dusky Warbler,Sylviidae,Birds
Locustella certhiola,Pallas's Grasshopper Warbler,Sylviidae,Birds
Coturnix coturnix,Common Quail,Phasianidae,Birds
Corvus splendens,House Crow,Corvidae,Birds
Ketupa flavipes,Tawny Fish-Owl,Strigidae,Birds
